#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
9.08E-05,0.011
9.10E-05,0.011
9.12E-05,0.011
9.14E-05,0.011
9.16E-05,0.011
9.18E-05,0.012
9.20E-05,0.011
9.22E-05,0.011
9.24E-05,0.011
9.26E-05,0.010
9.28E-05,0.010
9.30E-05,0.010
9.32E-05,0.010
9.34E-05,0.010
9.36E-05,0.011
9.38E-05,0.010
9.40E-05,0.011
9.42E-05,0.010
9.44E-05,0.010
9.46E-05,0.010
9.48E-05,0.010
9.50E-05,0.010
9.52E-05,0.010
9.54E-05,0.010
9.56E-05,0.010
9.58E-05,0.010
9.60E-05,0.010
9.62E-05,0.010
9.64E-05,0.010
9.66E-05,0.010
9.68E-05,0.009
9.70E-05,0.010
9.72E-05,0.010
9.74E-05,0.011
9.76E-05,0.010
9.78E-05,0.012
9.80E-05,0.010
9.82E-05,0.010
9.84E-05,0.011
9.86E-05,0.010
9.88E-05,0.010
9.90E-05,0.011
9.92E-05,0.010
9.94E-05,0.013
9.96E-05,0.010
9.98E-05,0.011
1.00E-04,0.011
1.00E-04,0.011
1.00E-04,0.009
1.01E-04,0.010
1.01E-04,0.011
1.01E-04,0.010
1.01E-04,0.010
1.01E-04,0.011
1.02E-04,0.011
1.02E-04,0.011
1.02E-04,0.011
1.02E-04,0.012
1.02E-04,0.012
1.03E-04,0.012
1.03E-04,0.012
1.03E-04,0.012
1.03E-04,0.011
1.03E-04,0.012
1.04E-04,0.013
1.04E-04,0.013
1.04E-04,0.013
1.04E-04,0.012
1.04E-04,0.012
1.05E-04,0.013
1.05E-04,0.012
1.05E-04,0.013
1.05E-04,0.012
1.05E-04,0.012
1.06E-04,0.012
1.06E-04,0.012
1.06E-04,0.011
1.06E-04,0.012
1.06E-04,0.011
1.07E-04,0.011
1.07E-04,0.011
1.07E-04,0.011
1.07E-04,0.011
1.07E-04,0.011
1.08E-04,0.011
1.08E-04,0.011
1.08E-04,0.011
1.08E-04,0.012
1.08E-04,0.012
1.09E-04,0.012
1.09E-04,0.011
1.09E-04,0.012
1.09E-04,0.011
1.09E-04,0.012
1.10E-04,0.012
1.10E-04,0.011
1.10E-04,0.012
1.10E-04,0.012
1.10E-04,0.011
1.11E-04,0.011
1.11E-04,0.011
1.11E-04,0.009
1.11E-04,0.010
1.11E-04,0.010
1.12E-04,0.010
1.12E-04,0.010
1.12E-04,0.011
1.12E-04,0.009
1.12E-04,0.008
1.13E-04,0.009
1.13E-04,0.009
1.13E-04,0.009
1.13E-04,0.010
1.13E-04,0.010
1.14E-04,0.011
1.14E-04,0.010
1.14E-04,0.011
1.14E-04,0.010
1.14E-04,0.010
1.15E-04,0.011
1.15E-04,0.011
1.15E-04,0.010
1.15E-04,0.010
1.15E-04,0.010
1.16E-04,0.008
1.16E-04,0.010
1.16E-04,0.011
1.16E-04,0.011
1.16E-04,0.011
1.17E-04,0.011
1.17E-04,0.011
1.17E-04,0.010
1.17E-04,0.010
1.17E-04,0.010
1.18E-04,0.010
1.18E-04,0.011
1.18E-04,0.010
1.18E-04,0.011
1.18E-04,0.012
1.19E-04,0.010
1.19E-04,0.011
1.19E-04,0.011
1.19E-04,0.010
1.19E-04,0.014
1.20E-04,0.013
1.20E-04,0.013
1.20E-04,0.012
1.20E-04,0.012
1.20E-04,0.011
1.21E-04,0.011
1.21E-04,0.011
1.21E-04,0.010
1.21E-04,0.010
1.21E-04,0.011
1.22E-04,0.011
1.22E-04,0.011
1.22E-04,0.012
1.22E-04,0.012
1.22E-04,0.012
1.23E-04,0.012
1.23E-04,0.011
1.23E-04,0.011
1.23E-04,0.012
1.23E-04,0.011
1.24E-04,0.012
1.24E-04,0.012
1.24E-04,0.012
1.24E-04,0.012
1.24E-04,0.012
1.25E-04,0.012
1.25E-04,0.012
1.25E-04,0.011
1.25E-04,0.012
1.25E-04,0.012
1.26E-04,0.011
1.26E-04,0.011
1.26E-04,0.011
1.26E-04,0.011
1.26E-04,0.012
1.27E-04,0.011
1.27E-04,0.011
1.27E-04,0.009
1.27E-04,0.008
1.27E-04,0.010
1.28E-04,0.011
1.28E-04,0.012
1.28E-04,0.011
1.28E-04,0.011
1.28E-04,0.011
1.29E-04,0.012
1.29E-04,0.012
1.29E-04,0.013
1.29E-04,0.013
1.29E-04,0.012
1.30E-04,0.012
1.30E-04,0.012
1.30E-04,0.011
1.30E-04,0.011
1.30E-04,0.012
1.31E-04,0.011
1.31E-04,0.011
1.31E-04,0.012
1.31E-04,0.010
1.31E-04,0.010
1.32E-04,0.010
1.32E-04,0.009
1.32E-04,0.009
1.32E-04,0.009
1.32E-04,0.008
1.33E-04,0.009
1.33E-04,0.009
1.33E-04,0.008
1.33E-04,0.008
1.33E-04,0.007
1.34E-04,0.006
1.34E-04,0.007
1.34E-04,0.007
1.34E-04,0.009
1.34E-04,0.009
1.35E-04,0.008
