Distance [mm] - Plot 0,Amplitude [mV] - Plot 0
21.797,394
21.806,386
21.816,395
21.825,387
21.834,390
21.844,386
21.853,388
21.862,387
21.872,391
21.881,385
21.891,397
21.9,384
21.909,387
21.919,383
21.928,387
21.937,383
21.947,387
21.956,384
21.966,387
21.975,383
21.984,387
21.994,384
22.003,387
22.013,387
22.022,386
22.031,384
22.041,385
22.05,383
22.059,387
22.069,384
22.078,388
22.087,385
22.097,388
22.106,386
22.116,386
22.125,386
22.134,387
22.144,386
22.153,387
22.163,383
22.172,388
22.181,386
22.191,386
22.2,387
22.209,384
22.219,382
22.228,381
22.237,378
22.247,376
22.256,379
22.266,381
22.275,383
22.284,381
22.294,380
22.303,377
22.312,376
22.322,378
22.331,381
22.341,384
22.35,386
22.359,383
22.369,381
22.378,375
22.388,373
22.397,373
22.406,379
22.416,384
22.425,380
22.434,374
22.444,375
22.453,374
22.462,376
22.472,376
22.481,381
22.491,380
22.5,380
22.509,373
22.519,375
22.528,370
22.538,374
22.547,372
22.556,374
22.566,372
22.575,372
22.584,370
22.594,372
22.603,369
22.612,373
22.622,372
22.631,372
22.641,369
22.65,370
22.659,366
22.669,371
22.678,367
22.687,371
22.697,369
22.706,374
22.716,370
22.725,371
22.734,364
22.744,371
22.753,367
22.763,371
22.772,370
22.781,374
22.791,367
22.8,371
22.809,363
22.819,372
22.828,365
22.837,371
22.847,366
22.856,373
22.866,369
22.875,378
22.884,372
22.894,381
22.903,372
22.913,382
22.922,369
22.931,373
22.941,362
22.95,365
22.959,357
22.969,358
22.978,352
22.987,365
22.997,357
23.006,366
23.016,358
23.025,370
23.034,359
23.044,370
23.053,362
23.062,372
23.072,362
23.081,370
23.091,364
23.1,373
23.109,368
23.119,372
23.128,364
23.138,371
23.147,367
23.156,374
23.166,368
23.175,375
23.184,370
23.194,372
23.203,370
23.212,370
23.222,366
23.231,370
23.241,368
23.25,372
23.259,369
23.269,371
23.278,367
23.288,372
23.297,362
23.306,370
23.316,366
23.325,369
23.334,363
23.344,370
23.353,359
23.362,367
23.372,364
23.381,370
23.391,368
23.4,373
23.409,364
23.419,367
23.428,367
23.437,372
23.447,354
23.456,365
23.466,367
23.475,370
23.484,363
23.494,372
23.503,370
23.513,371
23.522,358
23.531,371
23.541,365
23.55,367
23.559,362
23.569,357
23.578,348
23.587,369
23.597,367
23.606,363
23.616,366
23.625,369
23.634,361
23.644,366
23.653,363
23.663,367
23.672,356
23.681,361
23.691,358
23.7,368
23.709,366
23.719,371
23.728,368
23.737,365
23.747,357
23.756,359
23.766,367
23.775,371
23.784,370
23.794,362
23.803,357
23.812,358
23.822,361
23.831,367
23.841,365
23.85,352
23.859,357
23.869,360
23.878,366
23.888,361
23.897,362
23.906,357
23.916,352
23.925,348
23.934,349
23.944,349
23.953,358
23.962,366
23.972,371
23.981,371
23.991,374
24,372
24.009,370
24.019,367
24.028,367
24.038,360
24.047,366
24.056,368
24.066,366
24.075,359
24.084,364
24.094,363
24.103,371
24.112,366
24.122,370
24.131,367
24.141,370
24.15,367
24.159,371
24.169,367
24.178,374
24.187,368
24.197,371
24.206,362
24.216,366
24.225,355
24.234,362
24.244,358
24.253,361
24.263,356
24.272,362
24.281,354
24.291,358
24.3,349
24.309,355
24.319,350
24.328,357
24.337,350
24.347,354
24.356,348
24.366,356
24.375,347
24.384,355
24.394,347
24.403,358
24.413,348
24.422,360
24.431,357
24.441,364
24.45,358
24.459,368
24.469,366
24.478,379
24.487,363
24.497,371
24.506,355
24.516,365
24.525,359
24.534,376
24.544,379
24.553,372
24.562,355
24.572,372
24.581,353
24.591,371
24.6,372
24.609,382
24.619,372
24.628,383
24.638,372
24.647,381
24.656,372
24.666,379
24.675,372
24.684,377
24.694,371
24.703,375
24.712,367
24.722,369
24.731,359
24.741,367
24.75,358
24.759,367
24.769,358
24.778,373
24.788,359
24.797,370
24.806,363
24.816,371
24.825,364
24.834,371
24.844,366
24.853,376
24.862,369
24.872,374
24.881,371
24.891,377
24.9,372
24.909,380
24.919,370
24.928,380
24.937,375
24.947,383
24.956,381
24.966,387
24.975,388
24.984,395
24.994,388
25.003,394
25.013,386
25.022,388
25.031,386
25.041,396
25.05,389
25.059,393
25.069,389
25.078,394
25.087,388
25.097,389
25.106,385
25.116,385
25.125,385
25.134,387
25.144,386
25.153,390
25.163,386
25.172,394
25.181,386
25.191,389
25.2,386
25.209,386
25.219,380
25.228,385
25.237,380
25.247,385
25.256,390
25.266,398
25.275,402
25.284,404
25.294,397
25.303,391
25.312,383
25.322,380
25.331,381
25.341,386
25.35,386
25.359,388
25.369,385
25.378,385
25.388,386
25.397,387
25.406,391
25.416,392
25.425,392
25.434,388
25.444,387
25.453,388
25.462,388
25.472,394
25.481,395
25.491,396
25.5,393
25.509,391
25.519,390
25.528,389
25.538,389
25.547,391
25.556,393
25.566,394
25.575,396
25.584,394
25.594,402
25.603,399
25.612,402
25.622,401
25.631,405
25.641,402
25.65,404
25.659,402
25.669,405
25.678,401
25.687,402
25.697,400
25.706,404
25.716,401
25.725,403
25.734,400
25.744,406
25.753,400
25.763,407
25.772,400
25.781,405
25.791,400
25.8,406
25.809,404
25.819,408
25.828,406
25.837,411
25.847,407
25.856,417
25.866,409
25.875,420
25.884,411
25.894,420
25.903,414
25.913,419
25.922,415
25.931,422
25.941,414
25.95,422
25.959,417
25.969,423
25.978,414
25.987,424
25.997,414
26.006,422
26.016,414
26.025,425
26.034,420
26.044,428
26.053,420
26.062,428
26.072,422
26.081,431
26.091,421
26.1,430
26.109,419
26.119,430
26.128,423
26.138,430
26.147,424
26.156,432
26.166,421
26.175,431
26.184,424
26.194,430
26.203,424
26.212,431
26.222,424
26.231,430
26.241,424
26.25,429
26.259,426
26.269,432
26.278,428
26.288,430
26.297,429
26.306,432
26.316,430
26.325,430
26.334,433
26.344,430
26.353,430
26.362,436
26.372,428
26.381,434
26.391,430
26.4,435
26.409,430
26.419,434
26.428,430
26.437,436
26.447,431
26.456,436
26.466,432
26.475,436
26.484,432
26.494,437
26.503,430
26.513,434
26.522,431
26.531,437
26.541,435
26.55,437
26.559,432
26.569,436
26.578,433
26.587,436
26.597,434
26.606,440
26.616,435
26.625,441
26.634,433
26.644,444
26.653,436
26.663,445
26.672,437
26.681,445
26.691,436
26.7,446
26.709,436
26.719,445
26.728,437
26.737,444
26.747,437
26.756,444
26.766,438
26.775,445
26.784,439
26.794,445
26.803,439
26.812,444
26.822,437
26.831,445
26.841,437
26.85,447
26.859,440
26.869,443
26.878,443
26.888,446
26.897,446
26.906,447
26.916,445
26.925,446
26.934,445
26.944,448
26.953,446
26.962,446
26.972,448
26.981,448
26.991,447
27,447
27.009,447
27.019,446
27.028,444
27.038,446
27.047,447
27.056,445
27.066,445
27.075,444
27.084,446
27.094,446
27.103,447
27.112,445
27.122,450
27.131,446
27.141,450
27.15,451
27.159,451
27.169,450
27.178,453
27.187,452
27.197,456
27.206,456
27.216,458
27.225,456
27.234,460
27.244,457
27.253,459
27.263,457
27.272,458
27.281,457
27.291,459
27.3,457
27.309,459
27.319,456
27.328,463
27.337,459
27.347,463
27.356,461
27.366,465
27.375,460
27.384,466
27.394,462
27.403,469
27.413,464
27.422,473
27.431,463
27.441,469
27.45,466
27.459,468
27.469,466
27.478,470
27.487,464
27.497,470
27.506,462
27.516,470
27.525,463
27.534,472
27.544,468
27.553,472
27.562,467
27.572,470
27.581,469
27.591,474
27.6,470
27.609,474
27.619,469
27.628,475
27.638,472
27.647,480
27.656,474
27.666,486
27.675,475
27.684,482
27.694,476
27.703,485
27.712,478
27.722,485
27.731,481
27.741,484
27.75,481
27.759,487
27.769,484
27.778,488
27.788,484
27.797,490
27.806,484
27.816,489
27.825,484
27.834,488
27.844,483
27.853,489
27.862,484
27.872,488
27.881,486
27.891,491
27.9,485
27.909,489
27.919,485
27.928,490
27.937,483
27.947,491
27.956,486
27.966,496
27.975,489
27.984,496
27.994,488
28.003,498
28.013,489
28.022,497
28.031,490
28.041,499
28.05,490
28.059,499
28.069,495
28.078,499
28.087,497
28.097,501
28.106,498
28.116,502
28.125,499
28.134,503
28.144,500
28.153,503
28.163,501
28.172,504
28.181,499
28.191,504
28.2,496
28.209,500
28.219,491
28.228,496
28.237,489
28.247,494
28.256,492
28.266,498
28.275,493
28.284,501
28.294,489
28.303,499
28.312,499
28.322,501
28.331,499
28.341,504
28.35,503
28.359,502
28.369,503
28.378,504
28.388,504
28.397,504
28.406,504
28.416,504
28.425,505
28.434,503
28.444,505
28.453,504
28.462,504
28.472,505
28.481,505
28.491,504
28.5,498
28.509,498
28.519,490
28.528,494
28.538,496
28.547,500
28.556,503
28.566,502
28.575,501
28.584,505
28.594,505
28.603,502
28.612,504
28.622,503
28.631,503
28.641,502
28.65,504
28.659,509
28.669,509
28.678,503
28.687,502
28.697,502
28.706,503
28.716,506
28.725,504
28.734,505
28.744,505
28.753,500
28.763,504
28.772,507
28.781,522
28.791,522
28.8,523
28.809,515
28.819,514
28.828,508
28.837,507
28.847,506
28.856,511
28.866,504
28.875,511
28.884,511
28.894,513
28.903,514
28.913,517
28.922,513
28.931,514
28.941,509
28.95,511
28.959,506
28.969,514
28.978,509
28.987,514
28.997,505
29.006,511
29.016,504
29.025,503
29.034,503
29.044,503
29.053,504
29.062,508
29.072,504
29.081,513
29.091,509
29.1,516
29.109,511
29.119,519
29.128,512
29.138,523
29.147,518
29.156,526
29.166,522
29.175,528
29.184,521
29.194,523
29.203,512
29.212,520
29.222,515
29.231,529
29.241,528
29.25,536
29.259,527
29.269,533
29.278,527
29.288,527
29.297,522
29.306,526
29.316,524
29.325,528
29.334,522
29.344,529
29.353,521
29.362,526
29.372,515
29.381,525
29.391,514
29.4,523
29.409,518
29.419,528
29.428,524
29.437,531
29.447,528
29.456,535
29.466,528
29.475,534
29.484,529
29.494,536
29.503,532
29.513,536
29.522,528
29.531,536
29.541,527
29.55,532
29.559,529
29.569,531
29.578,528
29.587,527
29.597,529
29.606,530
29.616,528
29.625,530
29.634,528
29.644,533
29.653,530
29.663,538
29.672,532
29.681,538
29.691,535
29.7,541
29.709,537
29.719,540
29.728,538
29.737,542
29.747,539
29.756,543
29.766,537
29.775,541
29.784,536
29.794,542
29.803,538
29.812,543
29.822,538
29.831,542
29.841,538
29.85,543
29.859,536
29.869,541
29.878,538
29.888,543
29.897,537
29.906,541
29.916,538
29.925,541
29.934,535
29.944,543
29.953,535
29.962,541
29.972,537
29.981,541
29.991,539
30,542
30.009,539
30.019,544
30.028,542
30.038,542
30.047,540
30.056,543
30.066,538
30.075,541
30.084,538
30.094,541
30.103,539
30.112,542
30.122,539
30.131,543
30.141,543
30.15,544
30.159,543
30.169,547
30.178,547
30.187,545
30.197,547
30.206,548
30.216,548
30.225,547
30.234,546
30.244,547
30.253,546
30.263,547
30.272,546
30.281,548
30.291,544
30.3,546
30.309,548
30.319,545
30.328,545
30.337,543
30.347,545
30.356,544
30.366,548
30.375,542
30.384,543
30.394,542
30.403,544
30.413,542
30.422,543
30.431,543
30.441,543
30.45,540
30.459,538
30.469,538
30.478,541
30.487,540
30.497,543
30.506,537
30.516,540
30.525,539
30.534,544
30.544,542
30.553,547
30.562,546
30.572,548
30.581,546
30.591,548
30.6,548
30.609,548
30.619,546
30.628,551
30.638,547
30.647,550
30.656,546
30.666,551
30.675,547
30.684,550
30.694,547
30.703,548
30.712,544
30.722,550
30.731,545
30.741,548
30.75,544
30.759,549
30.769,546
30.778,549
30.788,548
30.797,554
30.806,552
30.816,558
30.825,554
30.834,563
30.844,561
30.853,569
30.862,562
30.872,563
30.881,558
30.891,562
30.9,553
30.909,562
30.919,558
30.928,564
30.937,554
30.947,556
30.956,548
30.966,553
30.975,548
30.984,552
30.994,546
31.003,551
31.013,547
31.022,556
31.031,550
31.041,562
31.05,561
31.059,566
31.069,562
31.078,566
31.087,562
31.097,566
31.106,566
31.116,561
31.125,557
31.134,562
31.144,553
31.153,553
31.163,547
31.172,553
31.181,550
31.191,553
31.2,550
31.209,554
31.219,549
31.228,558
31.237,550
31.247,558
31.256,553
31.266,556
31.275,552
31.284,558
31.294,554
31.303,562
31.312,552
31.322,552
31.331,547
31.341,552
31.35,553
31.359,561
31.369,557
31.378,561
31.388,554
31.397,557
31.406,553
31.416,560
31.425,552
31.434,556
31.444,552
31.453,554
31.462,549
31.472,553
31.481,550
31.491,552
31.5,548
31.509,549
31.519,542
31.528,548
31.538,548
31.547,560
31.556,560
31.566,563
31.575,562
31.584,564
31.594,562
31.603,566
31.612,562
31.622,565
31.631,562
31.641,562
31.65,552
31.659,553
31.669,549
31.678,553
31.687,550
31.697,554
31.706,549
31.716,553
31.725,554
31.734,563
31.744,563
31.753,565
31.763,562
31.772,560
31.781,551
31.791,552
31.8,551
31.809,555
31.819,555
31.828,558
31.837,554
31.847,560
31.856,561
31.866,561
31.875,560
31.884,557
31.894,553
31.903,553
31.913,550
31.922,548
31.931,549
31.941,548
31.95,547
31.959,544
31.969,547
31.978,547
31.987,552
31.997,554
32.006,558
32.016,562
32.025,562
32.034,563
32.044,565
32.053,562
32.062,562
32.072,553
32.081,553
32.091,548
32.1,548
32.109,546
32.119,548
32.128,550
32.138,551
32.147,549
32.156,555
32.166,562
32.175,563
32.184,561
32.194,559
32.203,549
32.213,551
32.222,549
32.231,556
32.241,558
32.25,561
32.259,558
32.269,559
32.278,558
32.287,563
32.297,559
32.306,562
32.316,559
32.325,562
32.334,558
32.344,563
32.353,562
32.362,563
32.372,556
32.381,561
32.391,556
32.4,561
32.409,557
32.419,561
32.428,552
32.437,561
32.447,552
32.456,556
32.466,552
32.475,556
32.484,549
32.494,550
32.503,547
32.513,553
32.522,548
32.531,555
32.541,552
32.55,560
32.559,551
32.569,560
32.578,550
32.588,553
32.597,548
32.606,553
32.616,548
32.625,557
32.634,553
32.644,562
32.653,559
32.662,563
32.672,558
32.681,562
32.691,558
32.7,562
32.709,552
32.719,556
32.728,548
32.737,553
32.747,548
32.756,556
32.766,549
32.775,553
32.784,550
32.794,555
32.803,552
32.812,552
32.822,542
32.831,544
32.841,553
32.85,557
32.859,542
32.869,544
32.878,550
32.888,553
32.897,551
32.906,557
32.916,552
32.925,554
32.934,548
32.944,553
32.953,547
32.963,551
32.972,547
32.981,552
32.991,547
33,550
33.009,547
33.019,551
33.028,550
33.037,550
33.047,547
33.056,551
33.066,547
33.075,552
33.084,547
33.094,553
33.103,550
33.112,550
33.122,548
33.131,554
33.141,553
33.15,557
33.159,553
33.169,554
33.178,551
33.187,554
33.197,552
33.206,556
33.216,552
33.225,557
33.234,552
33.244,557
33.253,554
33.263,551
33.272,548
33.281,547
33.291,543
33.3,547
33.309,541
33.319,543
33.328,543
33.338,545
33.347,543
33.356,545
33.366,543
33.375,548
33.384,547
33.394,545
33.403,540
33.412,547
33.422,547
33.431,551
33.441,545
33.45,538
33.459,546
33.469,545
33.478,529
33.487,547
33.497,536
33.506,547
33.516,545
33.525,548
33.534,545
33.544,541
33.553,540
33.562,541
33.572,543
33.581,543
33.591,536
33.6,532
33.609,543
33.619,542
33.628,539
33.638,541
33.647,541
33.656,543
33.666,550
33.675,544
33.684,543
33.694,542
33.703,538
33.713,541
33.722,548
33.731,540
33.741,546
33.75,530
33.759,539
33.769,532
33.778,537
33.787,533
33.797,535
33.806,535
33.816,543
33.825,535
33.834,539
33.844,537
33.853,543
33.862,537
33.872,542
33.881,540
33.891,546
33.9,539
33.909,541
33.919,537
33.928,541
33.937,533
33.947,541
33.956,530
33.966,536
33.975,529
33.984,536
33.994,529
34.003,533
34.013,529
34.022,535
34.031,529
34.041,537
34.05,530
34.059,539
34.069,533
34.078,539
34.088,534
34.097,540
34.106,534
34.116,541
34.125,533
34.134,539
34.144,534
34.153,542
34.162,532
34.172,539
34.181,529
34.191,537
34.2,527
34.209,537
34.219,527
34.228,532
34.237,528
34.247,532
34.256,527
34.266,529
34.275,526
34.284,528
34.294,522
34.303,527
34.312,519
34.322,525
34.331,515
34.341,523
34.35,514
34.359,524
34.369,513
34.378,523
34.388,513
34.397,523
34.406,514
34.416,522
34.425,512
34.434,523
34.444,516
34.453,523
34.463,517
34.472,525
34.481,519
34.491,525
34.5,518
34.509,524
34.519,518
34.528,524
34.537,516
34.547,522
34.556,515
34.566,522
34.575,512
34.584,520
34.594,512
34.603,514
34.612,510
34.622,514
34.631,510
34.641,512
34.65,510
34.659,514
34.669,511
34.678,516
34.687,511
34.697,516
34.706,513
34.716,518
34.725,511
34.734,511
34.744,513
34.753,517
34.763,512
34.772,523
34.781,515
34.791,520
34.8,517
34.809,523
34.819,516
34.828,525
34.838,514
34.847,519
34.856,514
34.866,519
34.875,514
34.884,514
34.894,513
34.903,513
34.912,509
34.922,513
34.931,511
34.941,512
34.95,506
34.959,507
34.969,505
34.978,504
34.987,504
34.997,503
35.006,504
35.016,503
35.025,505
35.034,503
35.044,504
35.053,504
35.062,503
35.072,508
35.081,505
35.091,503
35.1,503
35.109,503
35.119,502
35.128,503
35.138,504
35.147,502
35.156,504
35.166,503
35.175,507
35.184,502
35.194,502
35.203,500
35.213,501
35.222,500
35.231,503
35.241,498
35.25,501
35.259,500
35.269,501
35.278,496
35.287,499
35.297,497
35.306,498
35.316,494
35.325,499
35.334,496
35.344,499
35.353,496
35.362,499
35.372,496
35.381,499
35.391,493
35.4,500
35.409,492
35.419,501
35.428,490
35.437,499
35.447,494
35.456,500
35.466,491
35.475,499
35.484,490
35.494,498
35.503,490
35.513,497
35.522,490
35.531,494
35.541,487
35.55,494
35.559,484
35.569,492
35.578,485
35.588,491
35.597,485
35.606,492
35.616,485
35.625,488
35.634,483
35.644,488
35.653,484
35.662,487
35.672,480
35.681,486
35.691,482
35.7,486
35.709,480
35.719,484
35.728,482
35.737,487
35.747,482
35.756,484
35.766,480
35.775,483
35.784,478
35.794,485
35.803,475
35.812,485
35.822,474
35.831,483
35.841,474
35.85,482
35.859,475
35.869,481
35.878,472
35.888,477
35.897,472
35.906,476
35.916,470
35.925,475
35.934,471
35.944,475
35.953,469
35.963,477
35.972,469
35.981,476
35.991,471
36,471
36.009,471
36.019,474
36.028,470
36.037,472
36.047,468
36.056,470
36.066,467
36.075,470
36.084,467
36.094,469
36.103,467
36.112,471
36.122,465
36.131,470
36.141,465
36.15,469
36.159,464
36.169,468
36.178,462
36.187,466
36.197,460
36.206,464
36.216,459
36.225,464
36.234,459
36.244,466
36.253,459
36.263,462
36.272,458
36.281,464
36.291,460
36.3,463
36.309,461
36.319,463
36.328,457
36.338,463
36.347,456
36.356,463
36.366,459
36.375,459
36.384,455
36.394,458
36.403,455
36.412,459
36.422,457
36.431,457
36.441,455
36.45,455
36.459,454
36.469,455
36.478,453
36.487,452
36.497,451
36.506,451
36.516,450
36.525,449
36.534,447
36.544,450
36.553,451
36.562,448
36.572,450
36.581,449
36.591,450
36.6,447
36.609,448
36.619,452
36.628,452
36.638,447
36.647,451
36.656,446
36.666,446
36.675,446
36.684,445
36.694,444
36.703,446
36.713,442
36.722,445
36.731,441
36.741,446
36.75,441
36.759,446
36.769,439
36.778,443
36.787,439
36.797,442
36.806,435
36.816,442
36.825,436
36.834,441
36.844,435
36.853,437
36.862,434
36.872,441
36.881,431
36.891,438
36.9,434
36.909,435
36.919,433
36.928,435
36.937,433
36.947,435
36.956,431
36.966,436
36.975,430
36.984,434
36.994,430
37.003,434
37.013,431
37.022,432
37.031,430
37.041,434
37.05,429
37.059,433
37.069,429
37.078,433
37.088,430
37.097,433
37.106,429
37.116,431
37.125,427
37.134,432
37.144,427
37.153,435
37.162,425
37.172,431
37.181,425
37.191,430
37.2,422
37.209,430
37.219,424
37.228,431
37.237,421
37.247,430
37.256,422
37.266,431
37.275,420
37.284,426
37.294,421
37.303,425
37.312,416
37.322,421
37.331,418
37.341,422
37.35,415
37.359,422
37.369,414
37.378,421
37.388,412
37.397,417
37.406,413
37.416,419
37.425,411
37.434,421
37.444,412
37.453,419
37.463,409
37.472,417
37.481,409
37.491,416
37.5,411
37.509,415
37.519,406
37.528,414
37.537,407
37.547,412
37.556,406
37.566,412
37.575,406
37.584,412
37.594,406
37.603,411
37.612,406
37.622,409
37.631,406
37.641,405
37.65,405
37.659,406
37.669,403
37.678,407
37.687,402
37.697,407
37.706,401
37.716,406
37.725,400
37.734,406
37.744,400
37.753,405
37.763,395
37.772,405
37.781,397
37.791,403
37.8,396
37.809,402
37.819,396
37.828,399
37.838,396
37.847,401
37.856,396
37.866,397
37.875,395
37.884,397
37.894,395
37.903,396
37.912,396
37.922,397
37.931,394
37.941,397
37.95,395
37.959,396
37.969,395
37.978,396
37.987,393
37.997,396
38.006,395
38.016,395
38.025,395
38.034,395
38.044,394
38.053,392
38.062,393
38.072,392
38.081,396
38.091,394
38.1,398
38.109,395
38.119,393
38.128,390
38.138,389
38.147,386
38.156,386
38.166,386
38.175,385
38.184,387
38.194,386
38.203,387
38.213,387
38.222,385
38.231,385
38.241,388
38.25,390
38.259,384
38.269,390
38.278,386
38.287,387
38.297,383
38.306,386
38.316,380
38.325,387
38.334,381
38.344,383
38.353,377
38.362,382
38.372,375
38.381,381
38.391,375
38.4,382
38.409,373
38.419,377
38.428,372
38.437,380
38.447,374
38.456,384
38.466,375
38.475,383
38.484,379
38.494,388
38.503,382
38.513,387
38.522,382
38.531,386
38.541,379
38.55,382
38.559,374
38.569,381
38.578,372
38.588,378
38.597,368
38.606,376
38.616,368
38.625,373
38.634,366
38.644,373
38.653,364
38.662,375
38.672,367
38.681,378
38.691,372
38.7,378
38.709,371
38.719,376
38.728,372
38.737,379
38.747,372
38.756,381
38.766,372
38.775,380
38.784,372
38.794,381
38.803,372
38.812,382
38.822,372
38.831,378
38.841,371
38.85,374
38.859,365
38.869,373
38.878,369
38.888,377
38.897,371
38.906,380
38.916,371
38.925,376
38.934,368
38.944,372
38.953,365
38.963,372
38.972,360
38.981,368
38.991,359
39,366
39.009,358
39.019,366
39.028,356
39.037,369
39.047,360
39.056,368
39.066,364
39.075,371
39.084,367
39.094,372
39.103,366
39.112,368
39.122,358
39.131,363
39.141,359
39.15,360
39.159,351
39.169,357
39.178,348
39.187,359
39.197,348
39.206,357
39.216,347
39.225,355
39.234,350
39.244,368
39.253,359
39.263,365
39.272,357
39.281,357
39.291,348
39.3,348
39.309,346
39.319,356
39.328,359
39.338,368
39.347,357
39.356,359
39.366,348
39.375,349
39.384,350
39.394,348
39.403,350
39.412,357
39.422,351
39.431,348
39.441,350
39.45,354
39.459,356
39.469,361
39.478,359
39.487,355
39.497,348
39.506,348
39.516,347
39.525,345
39.534,349
39.544,357
39.553,353
39.562,349
39.572,347
39.581,347
39.591,356
39.6,360
39.609,360
39.619,359
39.628,357
39.638,348
39.647,346
39.656,346
39.666,346
39.675,345
39.684,351
39.694,353
39.703,360
39.713,358
39.722,363
39.731,357
39.741,357
39.75,348
39.759,351
39.769,349
39.778,347
39.787,347
39.797,349
39.806,345
39.816,347
39.825,346
39.834,348
39.844,346
39.853,344
39.862,341
39.872,345
39.881,343
39.891,348
39.9,340
39.909,347
39.919,343
39.928,345
39.937,344
39.947,348
39.956,347
39.966,350
39.975,349
39.984,357
39.994,351
40.003,356
40.013,351
40.022,358
40.031,349
40.041,357
40.05,347
40.059,352
40.069,346
40.078,348
40.088,341
40.097,348
40.106,341
40.116,348
40.125,346
40.134,351
40.144,347
40.153,353
40.162,346
40.172,354
40.181,345
40.191,347
40.2,343
40.209,349
40.219,348
40.228,357
40.237,347
40.247,348
40.256,344
40.266,347
40.275,342
40.284,346
40.294,346
40.303,350
40.312,346
40.322,357
40.331,347
40.341,348
40.35,342
40.359,347
40.369,347
40.378,355
40.388,348
40.397,359
40.406,348
40.416,352
40.425,346
40.434,347
40.444,343
40.453,347
40.463,344
40.472,347
40.481,347
40.491,357
40.5,350
40.509,361
40.519,354
40.528,357
40.537,348
40.547,348
40.556,346
40.566,347
40.575,342
40.584,347
40.594,343
40.603,347
40.612,346
40.622,347
40.631,347
40.641,354
40.65,347
40.659,359
40.669,348
40.678,357
40.687,348
40.697,358
40.706,352
40.716,357
40.725,348
40.734,357
40.744,350
40.753,361
40.763,348
40.772,354
40.781,346
40.791,350
40.8,348
40.809,350
40.819,347
40.828,351
40.838,348
40.847,349
40.856,348
40.866,351
40.875,349
40.884,352
40.894,348
40.903,351
40.912,352
40.922,355
40.931,352
40.941,356
40.95,357
40.959,356
40.969,356
40.978,358
40.987,356
40.997,356
41.006,357
41.016,356
41.025,356
41.034,357
41.044,357
41.053,358
41.062,356
41.072,356
41.081,356
41.091,356
41.1,357
41.109,357
41.119,358
41.128,357
41.138,359
41.147,356
41.156,362
41.166,360
41.175,365
41.184,364
41.194,365
41.203,360
41.213,362
41.222,358
41.231,359
41.241,356
41.25,359
41.259,351
41.269,356
41.278,356
41.287,359
41.297,353
41.306,361
41.316,356
41.325,362
41.334,358
41.344,359
41.353,357
41.362,364
41.372,358
41.381,369
41.391,358
41.4,366
41.409,360
41.419,370
41.428,367
41.437,374
41.447,366
41.456,372
41.466,369
41.475,376
41.484,370
41.494,371
41.503,366
41.513,374
41.522,371
41.531,371
41.541,371
41.55,372
41.559,369
41.569,373
41.578,368
41.588,374
41.597,367
41.606,373
41.616,368
41.625,372
41.634,366
41.644,376
41.653,367
41.662,377
41.672,369
41.681,375
41.691,370
41.7,379
41.709,371
41.719,380
41.728,373
41.737,379
41.747,371
41.756,379
41.766,373
41.775,381
41.784,375
41.794,386
41.803,379
41.812,385
41.822,375
41.831,380
41.841,374
41.85,382
41.859,378
41.869,386
41.878,380
41.888,386
41.897,380
41.906,385
41.916,378
41.925,386
41.934,379
41.944,387
41.953,377
41.963,382
41.972,375
41.981,386
41.991,377
42,382
42.009,378
42.019,384
42.028,381
42.037,387
42.047,386
42.056,393
42.066,385
42.075,394
42.084,386
42.094,387
42.103,383
42.112,384
42.122,379
42.131,385
42.141,380
42.15,388
42.159,386
42.169,397
42.178,390
42.187,396
42.197,388
42.206,387
42.216,386
42.225,387
42.234,386
42.244,390
42.253,387
42.263,394
42.272,386
42.281,392
42.291,391
42.3,395
42.309,387
42.319,392
42.328,390
42.338,397
42.347,395
42.356,393
42.366,388
42.375,395
42.384,399
42.394,406
42.403,394
42.412,388
42.422,389
42.431,400
42.441,399
42.45,395
42.459,391
42.469,396
42.478,401
42.487,395
42.497,393
42.506,392
42.516,394
42.525,397
42.534,396
42.544,397
42.553,398
42.562,398
42.572,398
42.581,395
42.591,396
42.6,397
42.609,404
42.619,405
42.628,405
42.638,400
42.647,402
42.656,401
42.666,409
42.675,408
42.684,411
42.694,408
42.703,411
42.713,406
42.722,405
42.731,401
42.741,406
42.75,402
42.759,406
42.769,405
42.778,407
42.787,407
42.797,410
42.806,406
42.816,410
42.825,407
42.834,414
42.844,407
42.853,414
42.862,408
42.872,416
42.881,409
42.891,418
42.9,409
42.909,418
42.919,408
42.928,415
42.937,409
42.947,415
42.956,411
42.966,421
42.975,411
42.984,418
42.994,409
43.003,424
43.013,411
43.022,419
43.031,410
43.041,421
43.05,413
43.059,422
43.069,413
43.078,422
43.088,413
43.097,421
43.106,413
43.116,424
43.125,415
43.134,426
43.144,418
43.153,428
43.162,418
43.172,429
43.181,420
43.191,429
43.2,420
43.209,428
43.219,419
43.228,430
43.237,423
43.247,428
43.256,425
43.266,430
43.275,428
43.284,430
43.294,424
43.303,430
43.312,425
43.322,430
43.331,429
43.341,430
43.35,430
43.359,432
43.369,426
43.378,431
43.388,430
43.397,431
43.406,430
43.416,435
43.425,429
43.434,432
43.444,431
43.453,434
43.463,432
43.472,436
43.481,431
43.491,434
43.5,431
43.509,435
43.519,434
43.528,435
43.537,430
43.547,436
43.556,430
43.566,435
43.575,430
43.584,435
43.594,434
43.603,441
43.612,435
43.622,444
43.631,437
